time,value,qaqc_flag_id,cdec_code,analyte_name,unit_name
6/3/2022 0:30,18197.8,G,TRB,Specific Conductance,µS/cm
6/3/2022 0:45,18142.1,G,TRB,Specific Conductance,µS/cm
6/3/2022 1:00,18141.2,G,TRB,Specific Conductance,µS/cm
6/3/2022 1:15,18031.6,G,TRB,Specific Conductance,µS/cm
6/3/2022 1:30,17932,G,TRB,Specific Conductance,µS/cm
6/3/2022 1:45,17907.2,G,TRB,Specific Conductance,µS/cm
6/3/2022 2:00,17882,G,TRB,Specific Conductance,µS/cm
6/3/2022 2:15,17858.7,G,TRB,Specific Conductance,µS/cm
6/3/2022 2:30,17839.1,G,TRB,Specific Conductance,µS/cm
6/3/2022 2:45,17811.2,G,TRB,Specific Conductance,µS/cm
6/3/2022 3:00,17911.2,G,TRB,Specific Conductance,µS/cm
6/3/2022 3:15,18020.1,G,TRB,Specific Conductance,µS/cm
6/3/2022 3:30,18037.9,G,TRB,Specific Conductance,µS/cm
6/3/2022 3:45,18032.6,G,TRB,Specific Conductance,µS/cm
6/3/2022 4:00,17919.2,G,TRB,Specific Conductance,µS/cm
6/3/2022 4:15,17944.2,G,TRB,Specific Conductance,µS/cm
6/3/2022 4:30,18001.6,G,TRB,Specific Conductance,µS/cm
6/3/2022 4:45,18040.3,G,TRB,Specific Conductance,µS/cm
6/3/2022 5:00,18008.4,G,TRB,Specific Conductance,µS/cm
6/3/2022 5:15,18043.5,G,TRB,Specific Conductance,µS/cm
6/3/2022 5:30,18023.7,G,TRB,Specific Conductance,µS/cm
6/3/2022 5:45,17957.5,G,TRB,Specific Conductance,µS/cm
6/3/2022 6:00,17989.1,G,TRB,Specific Conductance,µS/cm
6/3/2022 6:15,17997.4,G,TRB,Specific Conductance,µS/cm
6/3/2022 6:30,18006.9,G,TRB,Specific Conductance,µS/cm
6/3/2022 6:45,18009.6,G,TRB,Specific Conductance,µS/cm
6/3/2022 7:00,17998.4,G,TRB,Specific Conductance,µS/cm
6/3/2022 7:15,18045.4,G,TRB,Specific Conductance,µS/cm
6/3/2022 7:30,17958.5,G,TRB,Specific Conductance,µS/cm
6/3/2022 7:45,18118.2,G,TRB,Specific Conductance,µS/cm
6/3/2022 8:00,18141.9,G,TRB,Specific Conductance,µS/cm
6/3/2022 8:15,18170,G,TRB,Specific Conductance,µS/cm
